utc_time	profile	phase	t_ready_ms	t_content_ms	t_settled_ms	stalls_over_4ms	max_stall_ms	probe_ticks	objects_at_ready	objects_settled	layout_attached	objects_built	chain_tags	information_tiles
2026-08-20T08:11:41Z	whale-8a-2000g-500c	cold	36.18	38.73	90.05	6	9.55	40	916	916	107	809	4	2
2026-08-20T08:11:41Z	whale-8a-2000g-500c	warm	24.00	26.09	77.50	2	4.58	52	916	916	107	809	4	2
2026-08-20T08:11:44Z	whale-8a-2000g-500c	cold	40.89	44.00	95.14	6	9.88	42	916	916	107	809	4	2
2026-08-20T08:11:44Z	whale-8a-2000g-500c	warm	23.81	24.07	126.53	2	5.87	90	914	917	108	809	4	2
2026-08-20T08:11:48Z	whale-8a-2000g-500c	cold	39.55	42.79	93.24	4	9.40	43	916	916	107	809	4	2
2026-08-20T08:11:48Z	whale-8a-2000g-500c	warm	28.75	29.07	131.96	3	7.76	93	913	916	107	809	4	2
2026-08-20T08:11:51Z	whale-8a-2000g-500c	cold	36.76	40.16	91.78	7	9.27	40	916	916	107	809	4	2
2026-08-20T08:11:51Z	whale-8a-2000g-500c	warm	33.70	34.01	135.62	2	5.18	94	915	916	107	809	4	2
2026-08-20T08:11:54Z	whale-8a-2000g-500c	cold	35.27	38.88	90.22	7	8.11	40	917	917	108	809	4	2
2026-08-20T08:11:54Z	whale-8a-2000g-500c	warm	35.93	36.27	138.27	3	8.50	94	914	917	108	809	4	2
2026-08-20T08:11:57Z	whale-8a-2000g-500c	cold	35.67	38.44	89.43	4	10.79	40	916	916	107	809	4	2
2026-08-20T08:11:57Z	whale-8a-2000g-500c	warm	41.55	41.88	143.80	4	8.43	94	909	916	107	809	4	2
2026-08-20T08:12:00Z	whale-8a-2000g-500c	cold	34.94	36.03	138.40	9	10.05	74	914	916	107	809	4	2
2026-08-20T08:12:00Z	whale-8a-2000g-500c	warm	29.78	31.93	82.43	2	7.01	52	916	916	107	809	4	2
2026-08-20T08:12:03Z	whale-8a-2000g-500c	cold	36.30	39.61	90.86	6	7.48	42	916	916	107	809	4	2
2026-08-20T08:12:03Z	whale-8a-2000g-500c	warm	35.04	35.33	136.99	5	7.66	93	913	916	107	809	4	2
2026-08-20T08:12:06Z	whale-8a-2000g-500c	cold	37.00	40.40	91.12	4	9.74	42	917	917	108	809	4	2
2026-08-20T08:12:06Z	whale-8a-2000g-500c	warm	32.29	32.58	133.67	2	6.77	97	914	917	108	809	4	2
2026-08-20T08:12:09Z	whale-8a-2000g-500c	cold	38.65	41.80	92.29	7	8.86	44	916	916	107	809	4	2
2026-08-20T08:12:09Z	whale-8a-2000g-500c	warm	33.23	33.55	135.62	1	7.52	96	912	916	107	809	4	2
2026-08-20T08:12:12Z	whale-8a-2000g-500c	cold	41.89	45.98	96.56	6	16.99	38	916	916	107	809	4	2
2026-08-20T08:12:12Z	whale-8a-2000g-500c	warm	156.87	161.16	212.30	7	85.54	46	917	917	108	809	4	2
2026-08-20T08:12:15Z	whale-8a-2000g-500c	cold	33.92	35.23	136.41	3	10.05	78	914	916	107	809	4	2
2026-08-20T08:12:15Z	whale-8a-2000g-500c	warm	25.30	25.59	127.84	3	6.98	91	913	916	107	809	4	2
2026-08-20T08:19:15Z	whale-8a-2000g-500c	cold	34.68	37.64	89.17	8	11.09	38	916	916	107	809	4	2
2026-08-20T08:19:15Z	whale-8a-2000g-500c	warm	26.26	26.52	129.19	4	7.18	89	915	916	107	809	4	2
